"District","ID","Democrat","Republican","Other party","White","Black","Asian","Other","Latino","Name code","Population","Lat","Lng","Link"
25,25,0.4158422866,0.3320550515,0.2521026619,0.5219449044,0.0480885931,0.1372491059,0.0330357576,0.2596816389,LASGF,926935,34.2782734,-118.0016732,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#34.2782734031,-118.001673175,9,stateSenate,34.2782734031,-118.001673175,current"
26,26,0.4720289885,0.2513341778,0.2766368337,0.6487011146,0.034986532,0.1390859891,0.0410290626,0.1361973017,LAPVB,927757,33.62939364,-118.4383355,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#33.6293936442,-118.438335525,9,stateSenate,33.6293936442,-118.438335525,current"
27,27,0.4074937278,0.3488357518,0.2436705204,0.5817212736,0.0267170841,0.1097262242,0.0333883393,0.2484470788,EVENT,935656,34.20397156,-118.7448551,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#34.2039715638,-118.744855139,9,stateSenate,34.2039715638,-118.744855139,current"
28,28,0.3422122547,0.444512643,0.2132751023,0.4762846317,0.0354768233,0.0516261107,0.0281354562,0.4084769781,CCHTM,930072,33.72510059,-115.8405839,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#33.7251005948,-115.840583872,9,stateSenate,33.7251005948,-115.840583872,current"
29,29,0.3427490146,0.4024746553,0.2547763301,0.317299734,0.0252243667,0.266279414,0.0250957867,0.3661006987,CHFUL,925494,33.92661004,-117.8468648,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#33.9266100417,-117.846864848,9,stateSenate,33.9266100417,-117.846864848,current"
30,30,0.6849679464,0.0983985459,0.2166335077,0.1405111784,0.2751253122,0.0587688185,0.0252272097,0.5003674813,LAVSQ,922496,34.00401516,-118.333726,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#34.0040151613,-118.333725973,9,stateSenate,34.0040151613,-118.333725973,current"
31,31,0.3955941144,0.3785755489,0.2258303367,0.2871237024,0.0866042534,0.0753743308,0.0269367178,0.5239609956,RIVMV,940612,33.90694979,-117.3794558,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#33.9069497861,-117.379455763,9,stateSenate,33.9069497861,-117.379455763,current"
32,32,0.4886050859,0.2835551952,0.2278397189,0.1916775765,0.0353201072,0.1462171874,0.01757756,0.6092075688,LAPRW,933406,33.94015592,-118.0579131,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#33.9401559155,-118.057913084,9,stateSenate,33.9401559155,-118.057913084,current"
33,33,0.5799679516,0.1808292536,0.2392027948,0.1300352114,0.0858936408,0.0665899294,0.017683382,0.6997978364,LALBS,926972,33.88199468,-118.18357,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#33.8819946843,-118.18357,9,stateSenate,33.8819946843,-118.18357,current"
34,34,0.3834831081,0.3803046012,0.2362122907,0.2899526131,0.0122449463,0.2086727672,0.0206650982,0.4684645751,WSTSA,927893,33.75526408,-117.9789164,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#33.7552640784,-117.978916419,9,stateSenate,33.7552640784,-117.978916419,current"
35,35,0.6110910757,0.1666140738,0.2222948504,0.114140047,0.2102480701,0.1226922316,0.0231870877,0.5297325637,LAWBC,934615,33.85434308,-118.2833638,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#33.8543430776,-118.2833638,9,stateSenate,33.8543430776,-118.2833638,current"
36,36,0.2780308166,0.4582434209,0.2637257625,0.6343266001,0.0207934692,0.0712325029,0.0361385933,0.2375088345,SANOC,938083,33.41681134,-117.4521726,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#33.4168113422,-117.452172598,9,stateSenate,33.4168113422,-117.452172598,current"
37,37,0.2899139162,0.4461807225,0.2639053613,0.5600264823,0.0130289791,0.1761380234,0.0340772677,0.2167292476,IRVTST,937986,33.71336435,-117.7771223,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#33.7133643485,-117.777122317,9,stateSenate,33.7133643485,-117.777122317,current"
38,38,0.2871714284,0.4536654649,0.2591631066,0.5852424282,0.0324589141,0.0696480812,0.0404179573,0.2722326192,NESAN,929760,33.12113143,-116.6475226,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#33.1211314317,-116.647522612,9,stateSenate,33.1211314317,-116.647522612,current"
39,39,0.3833900371,0.3150428406,0.3015671223,0.5922499364,0.0455926659,0.1515607019,0.0418309908,0.1687657051,CSAND,928044,32.86397234,-117.149366,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#32.8639723383,-117.149365979,9,stateSenate,32.8639723383,-117.149365979,current"
40,40,0.4803610498,0.2605224119,0.2591165383,0.1638855468,0.0694044735,0.1173289272,0.0266273107,0.6227537418,ISAND,935055,32.98279657,-115.562316,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#32.982796568,-115.562316013,9,stateSenate,32.982796568,-115.562316013,current"
