state,year,n_reps,state_name,total_reps,relative_rep_power
AK,1810,NA,Alaska,182,NA
AZ,1810,NA,Arizona,182,NA
AR,1810,NA,Arkansas,182,NA
CA,1810,NA,California,182,NA
CO,1810,NA,Colorado,182,NA
CT,1810,7,Connecticut,182,0.038461538461538464
DE,1810,2,Delaware,182,0.01098901098901099
FL,1810,NA,Florida,182,NA
GA,1810,6,Georgia,182,0.03296703296703297
HI,1810,NA,Hawaii,182,NA
ID,1810,NA,Idaho,182,NA
IL,1810,NA,Illinois,182,NA
IN,1810,NA,Indiana,182,NA
IA,1810,NA,Iowa,182,NA
KS,1810,NA,Kansas,182,NA
KY,1810,10,Kentucky,182,0.054945054945054944
LA,1810,1,Louisiana,182,0.005494505494505495
ME,1810,NA,Maine,182,NA
MD,1810,9,Maryland,182,0.04945054945054945
MA,1810,20,Massachusetts,182,0.10989010989010989
MI,1810,NA,Michigan,182,NA
MN,1810,NA,Minnesota,182,NA
MS,1810,NA,Mississippi,182,NA
MO,1810,NA,Missouri,182,NA
MT,1810,NA,Montana,182,NA
NE,1810,NA,Nebraska,182,NA
NV,1810,NA,Nevada,182,NA
NH,1810,6,New Hampshire,182,0.03296703296703297
NJ,1810,6,New Jersey,182,0.03296703296703297
NM,1810,NA,New Mexico,182,NA
NY,1810,27,New York,182,0.14835164835164835
NC,1810,13,North Carolina,182,0.07142857142857142
ND,1810,NA,North Dakota,182,NA
OH,1810,6,Ohio,182,0.03296703296703297
OK,1810,NA,Oklahoma,182,NA
OR,1810,NA,Oregon,182,NA
PA,1810,23,Pennsylvania,182,0.12637362637362637
RI,1810,2,Rhode Island,182,0.01098901098901099
SC,1810,9,South Carolina,182,0.04945054945054945
SD,1810,NA,South Dakota,182,NA
TN,1810,6,Tennessee,182,0.03296703296703297
TX,1810,NA,Texas,182,NA
UT,1810,NA,Utah,182,NA
VT,1810,6,Vermont,182,0.03296703296703297
VA,1810,23,Virginia,182,0.12637362637362637
WA,1810,NA,Washington,182,NA
WV,1810,NA,West Virginia,182,NA
WI,1810,NA,Wisconsin,182,NA
WY,1810,NA,Wyoming,182,NA
AL,1820,3,Alabama,213,0.014084507042253521
AK,1820,NA,Alaska,213,NA
AZ,1820,NA,Arizona,213,NA
AR,1820,NA,Arkansas,213,NA
CA,1820,NA,California,213,NA
CO,1820,NA,Colorado,213,NA
CT,1820,6,Connecticut,213,0.028169014084507043
DE,1820,1,Delaware,213,0.004694835680751174
FL,1820,NA,Florida,213,NA
GA,1820,7,Georgia,213,0.03286384976525822
HI,1820,NA,Hawaii,213,NA
ID,1820,NA,Idaho,213,NA
IL,1820,1,Illinois,213,0.004694835680751174
IN,1820,3,Indiana,213,0.014084507042253521
IA,1820,NA,Iowa,213,NA
KS,1820,NA,Kansas,213,NA
KY,1820,12,Kentucky,213,0.056338028169014086
LA,1820,3,Louisiana,213,0.014084507042253521
ME,1820,7,Maine,213,0.03286384976525822
MD,1820,9,Maryland,213,0.04225352112676056
MA,1820,13,Massachusetts,213,0.06103286384976526
MI,1820,NA,Michigan,213,NA
MN,1820,NA,Minnesota,213,NA
MS,1820,1,Mississippi,213,0.004694835680751174
MO,1820,1,Missouri,213,0.004694835680751174
MT,1820,NA,Montana,213,NA
NE,1820,NA,Nebraska,213,NA
NV,1820,NA,Nevada,213,NA
NH,1820,6,New Hampshire,213,0.028169014084507043
NJ,1820,6,New Jersey,213,0.028169014084507043
NM,1820,NA,New Mexico,213,NA
NY,1820,34,New York,213,0.1596244131455399
NC,1820,13,North Carolina,213,0.06103286384976526
ND,1820,NA,North Dakota,213,NA
OH,1820,14,Ohio,213,0.06572769953051644
OK,1820,NA,Oklahoma,213,NA
OR,1820,NA,Oregon,213,NA
PA,1820,26,Pennsylvania,213,0.12206572769953052
RI,1820,2,Rhode Island,213,0.009389671361502348
SC,1820,9,South Carolina,213,0.04225352112676056
SD,1820,NA,South Dakota,213,NA
TN,1820,9,Tennessee,213,0.04225352112676056
TX,1820,NA,Texas,213,NA
UT,1820,NA,Utah,213,NA
VT,1820,5,Vermont,213,0.023474178403755867
VA,1820,22,Virginia,213,0.10328638497652583
WA,1820,NA,Washington,213,NA
WV,1820,NA,West Virginia,213,NA
WI,1820,NA,Wisconsin,213,NA
WY,1820,NA,Wyoming,213,NA
AL,1830,5,Alabama,240,0.020833333333333332
AK,1830,NA,Alaska,240,NA
AZ,1830,NA,Arizona,240,NA
AR,1830,NA,Arkansas,240,NA
CA,1830,NA,California,240,NA
CO,1830,NA,Colorado,240,NA
CT,1830,6,Connecticut,240,0.025
DE,1830,1,Delaware,240,0.004166666666666667
FL,1830,NA,Florida,240,NA
GA,1830,9,Georgia,240,0.0375
HI,1830,NA,Hawaii,240,NA
ID,1830,NA,Idaho,240,NA
IL,1830,3,Illinois,240,0.0125
IN,1830,7,Indiana,240,0.029166666666666667
IA,1830,NA,Iowa,240,NA
KS,1830,NA,Kansas,240,NA
KY,1830,13,Kentucky,240,0.05416666666666667
LA,1830,3,Louisiana,240,0.0125
ME,1830,8,Maine,240,0.03333333333333333
MD,1830,8,Maryland,240,0.03333333333333333
MA,1830,12,Massachusetts,240,0.05
MI,1830,NA,Michigan,240,NA
MN,1830,NA,Minnesota,240,NA
MS,1830,2,Mississippi,240,0.008333333333333333
MO,1830,2,Missouri,240,0.008333333333333333
MT,1830,NA,Montana,240,NA
NE,1830,NA,Nebraska,240,NA
NV,1830,NA,Nevada,240,NA
NH,1830,5,New Hampshire,240,0.020833333333333332
NJ,1830,6,New Jersey,240,0.025
NM,1830,NA,New Mexico,240,NA
NY,1830,40,New York,240,0.16666666666666666
NC,1830,13,North Carolina,240,0.05416666666666667
ND,1830,NA,North Dakota,240,NA
OH,1830,19,Ohio,240,0.07916666666666666
OK,1830,NA,Oklahoma,240,NA
OR,1830,NA,Oregon,240,NA
PA,1830,28,Pennsylvania,240,0.11666666666666667
RI,1830,2,Rhode Island,240,0.008333333333333333
SC,1830,9,South Carolina,240,0.0375
SD,1830,NA,South Dakota,240,NA
TN,1830,13,Tennessee,240,0.05416666666666667
TX,1830,NA,Texas,240,NA
UT,1830,NA,Utah,240,NA
VT,1830,5,Vermont,240,0.020833333333333332
VA,1830,21,Virginia,240,0.0875
WA,1830,NA,Washington,240,NA
WV,1830,NA,West Virginia,240,NA
WI,1830,NA,Wisconsin,240,NA
WY,1830,NA,Wyoming,240,NA
AL,1840,7,Alabama,223,0.03139013452914798
AK,1840,NA,Alaska,223,NA
AZ,1840,NA,Arizona,223,NA
AR,1840,1,Arkansas,223,0.004484304932735426
CA,1840,NA,California,223,NA
CO,1840,NA,Colorado,223,NA
CT,1840,4,Connecticut,223,0.017937219730941704
DE,1840,1,Delaware,223,0.004484304932735426
FL,1840,NA,Florida,223,NA
GA,1840,8,Georgia,223,0.03587443946188341
HI,1840,NA,Hawaii,223,NA
ID,1840,NA,Idaho,223,NA
IL,1840,7,Illinois,223,0.03139013452914798
IN,1840,10,Indiana,223,0.04484304932735426
IA,1840,NA,Iowa,223,NA
KS,1840,NA,Kansas,223,NA
KY,1840,10,Kentucky,223,0.04484304932735426
LA,1840,4,Louisiana,223,0.017937219730941704
ME,1840,7,Maine,223,0.03139013452914798
MD,1840,6,Maryland,223,0.026905829596412557
MA,1840,10,Massachusetts,223,0.04484304932735426
MI,1840,3,Michigan,223,0.013452914798206279
MN,1840,NA,Minnesota,223,NA
MS,1840,4,Mississippi,223,0.017937219730941704
MO,1840,5,Missouri,223,0.02242152466367713
MT,1840,NA,Montana,223,NA
NE,1840,NA,Nebraska,223,NA
NV,1840,NA,Nevada,223,NA
NH,1840,4,New Hampshire,223,0.017937219730941704
NJ,1840,5,New Jersey,223,0.02242152466367713
NM,1840,NA,New Mexico,223,NA
NY,1840,34,New York,223,0.15246636771300448
NC,1840,9,North Carolina,223,0.04035874439461883
ND,1840,NA,North Dakota,223,NA
OH,1840,21,Ohio,223,0.09417040358744394
OK,1840,NA,Oklahoma,223,NA
OR,1840,NA,Oregon,223,NA
PA,1840,24,Pennsylvania,223,0.10762331838565023
RI,1840,2,Rhode Island,223,0.008968609865470852
SC,1840,7,South Carolina,223,0.03139013452914798
SD,1840,NA,South Dakota,223,NA
TN,1840,11,Tennessee,223,0.04932735426008968
TX,1840,NA,Texas,223,NA
UT,1840,NA,Utah,223,NA
VT,1840,4,Vermont,223,0.017937219730941704
VA,1840,15,Virginia,223,0.06726457399103139
WA,1840,NA,Washington,223,NA
WV,1840,NA,West Virginia,223,NA
WI,1840,NA,Wisconsin,223,NA
WY,1840,NA,Wyoming,223,NA
AL,1850,7,Alabama,234,0.029914529914529916
AK,1850,NA,Alaska,234,NA
AZ,1850,NA,Arizona,234,NA
AR,1850,2,Arkansas,234,0.008547008547008548
CA,1850,2,California,234,0.008547008547008548
CO,1850,NA,Colorado,234,NA
CT,1850,4,Connecticut,234,0.017094017094017096
DE,1850,1,Delaware,234,0.004273504273504274
FL,1850,1,Florida,234,0.004273504273504274
GA,1850,8,Georgia,234,0.03418803418803419
HI,1850,NA,Hawaii,234,NA
ID,1850,NA,Idaho,234,NA
IL,1850,9,Illinois,234,0.038461538461538464
IN,1850,11,Indiana,234,0.04700854700854701
IA,1850,2,Iowa,234,0.008547008547008548
KS,1850,NA,Kansas,234,NA
KY,1850,10,Kentucky,234,0.042735042735042736
LA,1850,4,Louisiana,234,0.017094017094017096
ME,1850,6,Maine,234,0.02564102564102564
MD,1850,6,Maryland,234,0.02564102564102564
MA,1850,11,Massachusetts,234,0.04700854700854701
MI,1850,4,Michigan,234,0.017094017094017096
MN,1850,NA,Minnesota,234,NA
MS,1850,5,Mississippi,234,0.021367521367521368
MO,1850,7,Missouri,234,0.029914529914529916
MT,1850,NA,Montana,234,NA
NE,1850,NA,Nebraska,234,NA
NV,1850,NA,Nevada,234,NA
NH,1850,3,New Hampshire,234,0.01282051282051282
NJ,1850,5,New Jersey,234,0.021367521367521368
NM,1850,NA,New Mexico,234,NA
NY,1850,33,New York,234,0.14102564102564102
NC,1850,8,North Carolina,234,0.03418803418803419
ND,1850,NA,North Dakota,234,NA
OH,1850,21,Ohio,234,0.08974358974358974
OK,1850,NA,Oklahoma,234,NA
OR,1850,NA,Oregon,234,NA
PA,1850,25,Pennsylvania,234,0.10683760683760683
RI,1850,2,Rhode Island,234,0.008547008547008548
SC,1850,6,South Carolina,234,0.02564102564102564
SD,1850,NA,South Dakota,234,NA
TN,1850,10,Tennessee,234,0.042735042735042736
TX,1850,2,Texas,234,0.008547008547008548
UT,1850,NA,Utah,234,NA
VT,1850,3,Vermont,234,0.01282051282051282
VA,1850,13,Virginia,234,0.05555555555555555
WA,1850,NA,Washington,234,NA
WV,1850,NA,West Virginia,234,NA
WI,1850,3,Wisconsin,234,0.01282051282051282
WY,1850,NA,Wyoming,234,NA
AL,1860,6,Alabama,241,0.024896265560165973
AK,1860,NA,Alaska,241,NA
AZ,1860,NA,Arizona,241,NA
AR,1860,3,Arkansas,241,0.012448132780082987
CA,1860,3,California,241,0.012448132780082987
CO,1860,NA,Colorado,241,NA
CT,1860,4,Connecticut,241,0.016597510373443983
DE,1860,1,Delaware,241,0.004149377593360996
FL,1860,1,Florida,241,0.004149377593360996
GA,1860,7,Georgia,241,0.029045643153526972
HI,1860,NA,Hawaii,241,NA
ID,1860,NA,Idaho,241,NA
IL,1860,14,Illinois,241,0.058091286307053944
IN,1860,11,Indiana,241,0.04564315352697095
IA,1860,6,Iowa,241,0.024896265560165973
KS,1860,1,Kansas,241,0.004149377593360996
KY,1860,9,Kentucky,241,0.03734439834024896
LA,1860,5,Louisiana,241,0.02074688796680498
ME,1860,5,Maine,241,0.02074688796680498
MD,1860,5,Maryland,241,0.02074688796680498
MA,1860,10,Massachusetts,241,0.04149377593360996
MI,1860,6,Michigan,241,0.024896265560165973
MN,1860,2,Minnesota,241,0.008298755186721992
