name,year,population
Ohio,1850,0
Oregon,1850,0
Pennsylvania,1850,0
Rhode Island,1850,0
South Carolina,1850,384984
Tennessee,1850,239459
Texas,1850,58161
Utah Territory,1850,26
Vermont,1850,0
Virginia,1850,452028
Washington,1850,0
West Virginia,1850,20500
Wisconsin,1850,0
United States,1850,3204313
Alabama,1860,435080
Arkansas,1860,111115
California,1860,0
Colorado,1860,0
Connecticut,1860,0
Delaware,1860,1798
District of Columbia,1860,3185
Florida,1860,61745
Georgia,1860,462198
Illinois,1860,0
Indiana,1860,0
Iowa,1860,0
Kansas,1860,2
Kentucky,1860,225483
Louisiana,1860,331726
Maine,1860,0
Maryland,1860,87189
Massachusetts,1860,0
Michigan,1860,0
Minnesota,1860,0
Mississippi,1860,436631
Missouri,1860,114931
Nebraska,1860,15
Nevada,1860,0
New Hampshire,1860,0
New Jersey,1860,18
New Mexico,1860,0
New York,1860,0
North Carolina,1860,331059
Ohio,1860,0
Oregon,1860,0
Pennsylvania,1860,0
Rhode Island,1860,0
South Carolina,1860,402406
Tennessee,1860,275719
Texas,1860,182566
Utah Territory,1860,29
Vermont,1860,0
Virginia,1860,472494
Washington,1860,0
West Virginia,1860,18371
Wisconsin,1860,0
United States,1860,3953760
