sd_id,category,town
21,towns,durham
21,towns,lee
21,towns,madbury
21,towns,newfields
21,towns,newington
21,towns,newmarket
21,unincorporated places,durham
21,unincorporated places,newfields
21,unincorporated places,newmarket
22,towns,atkinson
22,towns,pelham
22,towns,plaistow
22,towns,salem
23,towns,brentwood
23,towns,chester
23,towns,danville
23,towns,east kingston
23,towns,epping
23,towns,exeter
23,towns,fremont
23,towns,kingston
23,towns,sandown
23,unincorporated places,epping
23,unincorporated places,exeter
24,towns,greenland
24,towns,hampton
24,towns,hampton falls
24,towns,kensington
24,towns,new castle
24,towns,newton
24,towns,north hampton
24,towns,rye
24,towns,seabrook
24,towns,south hampton
24,towns,stratham
24,unincorporated places,hampton
24,unincorporated places,hampton beach
24,unincorporated places,seabrook beach
