state,year,n_reps,state_name,total_reps
NV,2000,3,Nevada,435
NH,2000,2,New Hampshire,435
NJ,2000,13,New Jersey,435
NM,2000,3,New Mexico,435
NY,2000,29,New York,435
NC,2000,13,North Carolina,435
ND,2000,1,North Dakota,435
OH,2000,18,Ohio,435
OK,2000,5,Oklahoma,435
OR,2000,5,Oregon,435
PA,2000,19,Pennsylvania,435
RI,2000,2,Rhode Island,435
SC,2000,6,South Carolina,435
SD,2000,1,South Dakota,435
TN,2000,9,Tennessee,435
TX,2000,32,Texas,435
UT,2000,3,Utah,435
VT,2000,1,Vermont,435
VA,2000,11,Virginia,435
WA,2000,9,Washington,435
WV,2000,3,West Virginia,435
WI,2000,8,Wisconsin,435
WY,2000,1,Wyoming,435
AL,2010,7,Alabama,435
AK,2010,1,Alaska,435
AZ,2010,9,Arizona,435
AR,2010,4,Arkansas,435
CA,2010,53,California,435
CO,2010,7,Colorado,435
CT,2010,5,Connecticut,435
DE,2010,1,Delaware,435
FL,2010,27,Florida,435
GA,2010,14,Georgia,435
HI,2010,2,Hawaii,435
ID,2010,2,Idaho,435
IL,2010,18,Illinois,435
IN,2010,9,Indiana,435
IA,2010,4,Iowa,435
KS,2010,4,Kansas,435
KY,2010,6,Kentucky,435
LA,2010,6,Louisiana,435
ME,2010,2,Maine,435
MD,2010,8,Maryland,435
MA,2010,9,Massachusetts,435
MI,2010,14,Michigan,435
MN,2010,8,Minnesota,435
MS,2010,4,Mississippi,435
MO,2010,8,Missouri,435
MT,2010,1,Montana,435
NE,2010,3,Nebraska,435
NV,2010,4,Nevada,435
NH,2010,2,New Hampshire,435
NJ,2010,12,New Jersey,435
NM,2010,3,New Mexico,435
NY,2010,27,New York,435
NC,2010,13,North Carolina,435
ND,2010,1,North Dakota,435
OH,2010,16,Ohio,435
OK,2010,5,Oklahoma,435
OR,2010,5,Oregon,435
PA,2010,18,Pennsylvania,435
RI,2010,2,Rhode Island,435
SC,2010,7,South Carolina,435
SD,2010,1,South Dakota,435
TN,2010,9,Tennessee,435
TX,2010,36,Texas,435
UT,2010,4,Utah,435
VT,2010,1,Vermont,435
VA,2010,11,Virginia,435
WA,2010,10,Washington,435
WV,2010,3,West Virginia,435
WI,2010,8,Wisconsin,435
WY,2010,1,Wyoming,435
