category,value
state,New Hampshire
counties,"Belknap, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Sullivan"
metro areas,"Berlin Area, Boston Area, Claremont Area, Concord Area, Keene Area, Laconia Area, Manchester Area"
cities,"Berlin, Claremont, Concord, Franklin, Keene, Lebanon, Nashua"
grants,"Atkinson and Gilmanton Academy, Beans, Cutts, Dixs, Greens, Low and Burbanks, Pinkhams, Second College"
locations,"Ervings, Martins, Wentworth"
purchases,"Beans, Chandlers, Crawfords, Hadleys, Sargents, Thompson and Meserves"
towns,"Acworth, Alexandria, Allenstown, Alstead, Amherst, Andover, Antrim, Ashland, Atkinson, Bath, Bennington, Benton, Bethlehem, Boscawen, Bow, Bradford, Bridgewater, Bristol, Brookline, Canaan, Canterbury, Carroll, Center Harbor, Charlestown, Chesterfield, Chichester, Clarksville, Colebrook, Columbia, Cornish, Croydon, Dalton, Danbury, Deerfield, Deering, Dorchester, Dublin, Dummer, Dunbarton, Easton, Ellsworth, Enfield, Epsom, Errol, Fitzwilliam, Francestown, Franconia, Gilsum, Gorham, Goshen, Grafton, Grantham, Greenfield, Greenville, Groton, Hancock, Hanover, Harrisville, Haverhill, Hebron, Henniker, Hill, Hillsborough, Hinsdale, Holderness, Hollis, Hopkinton, Hudson, Jaffrey, Jefferson, Lancaster, Landaff, Langdon, Lempster, Lincoln, Lisbon, Litchfield, Littleton, Livermore, Loudon, Lyman, Lyme, Lyndeborough, Marlborough, Marlow, Mason, Milan, Milford, Monroe, Mont Vernon, Nelson, New Boston, New Ipswich, New London, Newbury, Newport, Northfield, Northumberland, Northwood, Orange, Orford, Pelham, Pembroke, Peterborough, Piermont, Pittsburg, Pittsfield, Plainfield, Plymouth, Randolph, Richmond, Rindge, Roxbury, Rumney, Salem, Salisbury, Sharon, Shelburne, Springfield, Stark, Stewartstown, Stoddard, Stratford, Sugar Hill, Sullivan, Sunapee, Surry, Sutton, Swanzey, Temple, Thornton, Troy, Unity, Walpole, Warner, Warren, Washington, Waterville Valley, Weare, Webster, Wentworth, Westmoreland, Whitefield, Wilmot, Wilton, Winchester, Windham, Windsor, Woodstock"
townships,"Cambridge, Dixville, Kilkenny, Millsfield, Odell, Success"
unincorporated places,"Amherst, Antrim, Ashland, Bennington, Bethlehem, Blodgett Landing, Bradford, Bristol, Canaan, Charlestown, Colebrook, Contoocook, Enfield, Gorham, Greenville, Groveton, Hancock, Hanover, Henniker, Hillsborough, Hinsdale, Hudson, Jaffrey, Lancaster, Lincoln, Lisbon, Littleton, Loudon, Marlborough, Milford, Mountain Lakes, New London, Newport, North Haverhill, North Walpole, North Woodstock, Peterborough, Pittsfield, Plainfield, Plymouth, Suncook, Tilton Northfield, Troy, Walpole, Warner, West Stewartstown, West Swanzey, Whitefield, Wilton, Winchester, Woodsville"
